Ticket ID,Date Logged,Issue Category,Priority,Status,Resolution Days
T-1001,2025-12-11,Access/Login,High,Open,1.0
T-1002,2025-11-21,Access/Login,Low,Open,0.9
T-1003,2025-11-17,Hardware Failure,Low,Closed,11.4
T-1004,2025-11-26,Access/Login,Low,Closed,0.4
T-1005,2025-10-12,Software Glitch,Low,Closed,3.3
T-1006,2025-12-01,Software Glitch,Medium,Open,5.0
T-1007,2025-10-17,Access/Login,Low,Pending,0.4
T-1008,2025-10-28,Hardware Failure,Low,Closed,10.7
T-1009,2025-11-16,Hardware Failure,Medium,Pending,7.5
T-1010,2025-10-21,Hardware Failure,Medium,Pending,12.8
T-1011,19/12/2025,Hardware Failure,Medium,Closed,10.3
T-1012,2025-12-19,Software Glitch,Low,Pending,1.8
T-1013,2025-11-08,Access/Login,Low,Pending,0.9
T-1014,2025-10-30,Network Issues,Medium,Closed,2.6
T-1015,2025-11-09,Network Issues,Low,Open,4.8
T-1016,2025-11-06,Softwre Glitch,Medium,Closed,6.4
T-1017,2025-10-08,Access/Login,High,Closed,0.5
T-1018,2025-10-30,Network Issues,Low,Closed,5.2
T-1019,2025-12-23,Network Issues,Medium,Closed,3.7
T-1020,2025-11-11,Network Issues,Low,Open,5.8
T-1021,16th Nov 2025,Software Glitch,Medium,Open,3.9
T-1022,2025-12-17,Network Issues,Medium,Closed,4.2
T-1023,2025-11-13,Hardware Failure,Low,Closed,9.0
T-1024,2025-12-19,Hardware Failure,Low,Closed,6.4
T-1025,2025-10-09,Software Glitch,Low,Closed,6.8
T-1026,2026-01-01,Hardware Failure,High,Closed ,6.4
T-1027,2025-12-04,Hardware Failure,High,Closed,13.3
T-1028,2025-12-14,Access/Login,High,Open,0.5
T-1029,2025-11-15,Software Glitch,Medium,Closed,2.3
T-1030,2025-12-15,Hardware Failure,Medium,Pending,10.2
T-1031,20/11/2025,Software Glitch,Low,Closed,2.3
T-1032,2025-12-27,Hardware Failure,Critical,Closed,13.6
T-1033,2025-11-12,Access/Login,Low,Closed,1.0
T-1034,2025-11-13,Software Glitch,High,Closed,4.5
T-1035,2025-11-28,Access/Login,Low,Closed,0.4
T-1036,2025-12-07,Network Issues,Medium,Pending,
T-1037,2025-11-08,Hardware Failure,Low,Closed,12.9
T-1038,2025-11-03,Network Issues,Medium,Open,5.4
T-1039,2025-10-23,Access/Login,Critical,Closed,0.9
T-1040,2025-12-11,Access/Login,Medium,Closed,0.4
T-1041,2025-11-23,Access/Login,Medium,Closed,0.3
T-1042,2025-10-12,Software Glitch,Medium,Closed,4.0
T-1043,2025-11-02,Access/Login,High,Pending,0.4
T-1044,2025-10-21,Hardware Failure,Low,Closed,8.1
T-1045,2025-10-28,Network Issues,High,Closed,4.1
T-1046,2025-10-10,Network Issues,Hihg,Open,3.1
T-1047,2025-12-23,Access/Login,High,Closed,0.3
T-1048,2025-11-21,Network Issues,Medium,Closed,5.3
T-1049,2025-10-21,Access/Login,High,Closed,0.3
T-1050,2025-11-10,Network Issues,Low,Closed,5.3
